region,region_clean
Central African Copperbelt,Central
Central African Copperbelt / northern Zambia,Central
Central African copper belt,Central
Central Africa’s Copperbelt,Central
Central Province,Central
Central Zambian IOCG belt,Central
Central province,Central
Chingola Central,Central
Chingola Central constituency,Central
"Chisamba district, Central Province",Central
Copperbelt; Central Province; Luapula Province,Central
Kabwe,Central
"Kabwe (Munkoyo Mine Corridor), Kapiri Mposhi District",Central
Kabwe (central Zambia),Central
Kabwe District,Central
Kabwe city area,Central
Kabwe district,Central
Kabwe municipality,Central
"Kabwe, Central Province",Central
"Kabwe, Central Zambia",Central
Kabwela,Central
"Kanona, Serenje District, Central Province",Central
Kaoma Central Constituency,Central
Kapiri Mposhi,Central
Kapiri Mposhi District,Central
Kapiri Mposhi district,Central
"Kapiri Mposhi district, Central Province",Central
"Kitwe, Mufulira, Chingola (Copperbelt Province); Kabwe (Central Province)",Central
"Luano District, Central Province",Central
Luanshya (Central African Copperbelt),Central
Luanshya; Mkushi; Zambian copper-belt,Central
Lusaka; Central Province,Central
"Makululu township, Kabwe (Central Province)",Central
"Makululu, Kabwe, Central Province",Central
Mkushi,Central
Mkushi District,Central
"Mkushi District, Central Province",Central
Mkushi district,Central
"Mkushi district, Central Province",Central
"Mkushi, Central Province",Central
"Mkushi, Central province",Central
Mumbwa,Central
Mumbwa District,Central
"Mumbwa District, Central Province",Central
"Mumbwa District, Central Province; Western Foreland, Northwestern Zambia",Central
Mumbwa district,Central
"Mumbwa, Central Province",Central
"Mumbwa, Chisamba, Rufunsa, Mpika, Mufumbwe",Central
Ndola; Munkulungwe Ward; Bwana Mkubwa; Kapiri Mposhi,Central
New Kapiri Mposhi,Central
New Kapiri Mposhi and Nakonde,Central
"Northern, Muchinga, Luapula, Central and Copperbelt Provinces",Central
Rufunsa; Mansa; Mpongwe; Mkushi,Central
Serenje District,Central
"Serenje District, Central Province",Central
Serenje and Chitambo districts,Central
Serenje district,Central
"Serenje district, Central Province",Central
central African Copperbelt,Central
central African Copperbelt region,Central
central African copperbelt,Central
central Copperbelt region,Central
central Zambia,Central
"central Zambia (Kabwe), approx. 110km north of Lusaka",Central
central copperbelt region,Central
central part of the Republic of Zambia,Central
central province,Central
central regions of Zambia,Central
85km south of Luanshya,Copperbelt
African Copperbelt,Copperbelt
African copperbelt,Copperbelt
"Butondo Township, Mufulira",Copperbelt
"Chambeshi, Copperbelt Province",Copperbelt
Chambishi,Copperbelt
Chambishi and Kitwe,Copperbelt
"Chambishi district, Copperbelt Province",Copperbelt
"Chambishi town, Copperbelt Province",Copperbelt
"Chambishi, Copperbelt",Copperbelt
"Chambishi, Copperbelt Province",Copperbelt
"Chambishi, Copperbelt province",Copperbelt
"Chambishi, Kalulushi District, Copperbelt",Copperbelt
"Chambishi, Kalulushi district, Copperbelt Province",Copperbelt
"Chambishi, Kalulushi, Copperbelt Province",Copperbelt
"Chambishi, Kitwe",Copperbelt
"Chambishi, Kitwe (Copperbelt Province)",Copperbelt
Chambishi; Kalulushi district; Copperbelt province,Copperbelt
Chambishi; Kitwe; Kafue River system,Copperbelt
Chambishi; Luanshya,Copperbelt
Chambishi; Mindolo shaft,Copperbelt
Chambishi; Nchanga; Copperbelt Province,Copperbelt
"Chamboli Township, Copperbelt",Copperbelt
Chilanga; Ndola,Copperbelt
Chililabombwe,Copperbelt
Chililabombwe District,Copperbelt
"Chililabombwe District, Copperbelt",Copperbelt
"Chililabombwe District, Copperbelt Province",Copperbelt
Chililabombwe district,Copperbelt
"Chililabombwe, Chingola, Kitwe",Copperbelt
"Chililabombwe, Copperbelt",Copperbelt
"Chililabombwe, Copperbelt Province",Copperbelt
Chililabombwe; Chingola,Copperbelt
Chililabombwe; Zambian Copperbelt,Copperbelt
Chingola,Copperbelt
