sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
http://en.people.cn/n3/2024/1228/c90000-20259531.html,20241228,"Seminar held in Zambia to enhance labor relations between Chinese enterprises, local employees - People's Daily Online",live_ok_trafilatura,0.99,0.95,0.88,"Social | Livelihoods & Economy | Employment creation and job security -> ""Chinese enterprises have invested more than 3.5 billion dollars in Zambia's mining sector, creating about 15,000 jobs."" || Social | Health, Safety & Well-being | Worker health and safety risks -> """"We urged Chinese companies to benefit local people while achieving their own development, strictly follow local labor laws, effectively protect the safety and legal rights and interests of local workers, fully understand the demands of employees, and promptly resolve conflicts and disputes of employment,"" he said."" || Social | Health, Safety & Well-being | Accidents and fatalities (including structural failures such as tailings dams) -> ""8 killed in Zambia mine collapse"" || Governance | Regulation, Compliance & Institutions | Compliance with national and international standards -> ""the Chinese government has always urged enterprises operating overseas to comply with local laws and regulations and fulfill their social responsibilities.""",,Lusaka,,,Social || Social || Social || Governance,"Livelihoods & Economy || Health, Safety & Well-being || Health, Safety & Well-being || Regulation, Compliance & Institutions",Employment creation and job security || Worker health and safety risks || Accidents and fatalities (including structural failures such as tailings dams) || Compliance with national and international standards
http://www.china.org.cn/world/Off_the_Wire/2024-12/28/content_117633588.htm,20241227,"Seminar held in Zambia to enhance labor relations between Chinese enterprises, local employees - China.org.cn",live_ok_trafilatura,1.0,1.0,0.95,"Social | Livelihoods & Economy | Employment creation and job security -> ""Meanwhile, Chinese enterprises have invested more than 3.5 billion dollars in Zambia's mining sector, creating about 15,000 jobs.""",,Lusaka,,,Social,Livelihoods & Economy,Employment creation and job security
https://africacenter.org/spotlight/africa-china-relations-2025/,20250108,What to Expect from Africa-China Relations in 2025 – Africa Center,live_ok_newspaper,0.95,0.95,0.78,"Governance | Transparency & Accountability | Corporate transparency and reporting -> ""Promoting financial transparency, particularly in extractives"" | ""Establishing a system to track FOCAC commitments"" | ""track, monitor, and issue regular reports on FOCAC commitments."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""The top three items on the African agenda for relations with China in 2025 are market access, balanced trade, and value addition."" | ""Others want more targeted Chinese investments in African manufacturing."" | """"We must stop exporting soil,"" said Zambia's Minister of Mines at a major conference for lithium producers in 2023."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""Even if they are removed, African countries still export mainly unprocessed goods and commodities to China. This means large trade deficits will remain while trade volumes grow."" | """"We must stop exporting soil,"" said Zambia's Minister of Mines at a major conference for lithium producers in 2023.""",,,copper,,Governance || Social || Social,Transparency & Accountability || Livelihoods & Economy || Livelihoods & Economy,"Corporate transparency and reporting || Business opportunities (local supply chains, services) || Income generation and poverty reduction or exacerbation"
https://english.news.cn/africa/20241228/ed5a9a0885d149c181c0f5eb92e2ad09/c.html,20241228,Chinese enterprises urged to contribute to Zambia's development-Xinhua,live_ok_trafilatura,0.99,0.95,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""The event included the awarding of certificates to Chinese enterprises in recognition of their contributions in various areas, including outstanding corporate social responsibility and employment advancement."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""He noted that two Chinese companies have established factories in Zambia to produce electric cables from locally sourced copper."" | """"Our government is focused on promoting value addition to raw materials, and we are pleased that Chinese enterprises have already begun investing in this area,"" Mulenga said.""",,Lusaka,copper,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,"Employment creation and job security || Business opportunities (local supply chains, services)"
https://eturbonews.com/zambia-ruling-party-wins-presidential-election/,20250104,Zambia ruling party wins presidential election,live_ok_newspaper,1.0,0.95,0.8,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""Zambia's president must diversify the economy away from copper to tourism, hydropower, agriculture and other sectors to better the lives of Zambians.""",,Copperbelt Province,copper,,Social,Livelihoods & Economy,Income generation and poverty reduction or exacerbation
https://oilprice.com/Metals/Commodities/Critical-Minerals-Race-Heats-Up-as-Battery-Demand-Wanes.html,20250102,Critical Minerals Race Heats Up as Battery Demand Wanes | OilPrice.com,live_ok_trafilatura,0.95,0.95,0.75,"Environmental | Land, Soil & Geology | Transport corridors and access road impacts -> ""the White House said it would help finance the construction of a transport corridor across Tanzania, the Democratic Republic of the Congo, and Zambia. The plan aims to facilitate the extraction of transition-related natural resources from African countries as the West seeks to get an edge in the critical minerals race with China."" || Governance | Reputation & Social License | Mining image and public perception -> ""KoBold said it had found a massive copper deposit in Zambia."" | ""there was broad bipartisan support for the company's activities based on the perception of critical mineral supply as a matter of national security.""",,,copper,KoBold Metals,Environmental || Governance,"Land, Soil & Geology || Reputation & Social License",Transport corridors and access road impacts || Mining image and public perception
https://time.com/7202047/cold-war-history-critical-minerals/,20250108,The Blueprint for Winning the Race for Critical Minerals | TIME,live_ok_trafilatura,0.95,0.95,0.7,"Environmental | Land, Soil & Geology | Transport corridors and access road impacts -> ""The U.S. loaned money to expand transport infrastructure in Brazil and Zambia."" | ""The U.S. has committed $3 billion to expand a railway that will link mines in Congo and Zambia with an Atlantic port."" || Environmental | Air & Climate | Energy demand and consumption -> ""The U.S. loaned money to companies in Congo to expand hydroelectric dams to power smelters and refineries and to build new mines and refineries in Zambia.""",,,copper; cobalt,,Environmental || Environmental,"Land, Soil & Geology || Air & Climate",Transport corridors and access road impacts || Energy demand and consumption
https://whatsnew2day.com/gemfields-owner-of-faberge-affected-by-the-emerald-tax-in-zambia/,20250108,,wayback_ok,0.95,0.95,0.9,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""Zambia has reimposed a 15 percent export duty that had been suspended since 2020, without ""notice or prior consultation."""" | ""The company will engage with the Zambian government to seek to reintroduce the suspension of this export duty or remove it from legislation given the impact on the sustainability of the sector and the attractiveness of investment."" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""Zambia has reimposed a 15 percent export duty that had been suspended since 2020, without ""notice or prior consultation.""""",Kagem Mining,,emeralds,Gemfields,Governance || Governance,"Regulation, Compliance & Institutions || Stakeholder Engagement & Rights",Legislative and regulatory framework effectiveness || Stakeholder inclusion in decision-making
https://www.aljazeera.com/features/2025/1/2/modern-plunderers-lobito-corridor-plans-bring-fear-hesitation-in-drc,20250102,"'Modern plunderers': Lobito Corridor plans bring fear, hesitation in DRC | Mining News | Al Jazeera",live_ok_trafilatura,0.7,0.95,0.8,"Social | Livelihoods & Economy | Employment creation and job security -> ""The project will see the creation of about 30,000 direct and indirect jobs and help reduce poverty in DRC, Congolese President Felix Tshisekedi said in Angola last month."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""The project will see the creation of about 30,000 direct and indirect jobs and help reduce poverty in DRC, Congolese President Felix Tshisekedi said in Angola last month."" | """"This project is likely to threaten even the small activities we used to carry out. At one point, I was loading trucks to take goods to Matadi. This Corridor could leave me workless,"" he fears."" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""An October 2024 United Nations policy document (PDF) on the regional effect of the Lobito Corridor also listed potential future challenges, including the environmental effect, land and community conflicts, as well as health, gender and human rights-related risks."" || Social | Equity, Rights & Vulnerable Groups | Freedom and justice impacts in nearby communities -> ""Claude Banza lives in the city of Kolwezi in Lualaba, one of the key points along the Corridor's route, which hosts vast mines that rights groups have called out for human rights abuses."" | ""An October 2024 United Nations policy document (PDF) on the regional effect of the Lobito Corridor also listed potential future challenges, including the environmental effect, land and community conflicts, as well as health, gender and human rights-related risks."" || Social | Equity, Rights & Vulnerable Groups | Land ownership impacts and regional value changes -> ""An October 2024 United Nations policy document (PDF) on the regional effect of the Lobito Corridor also listed potential future challenges, including the environmental effect, land and community conflicts"" | """"We want local processing of our ores here in Lualaba, because transporting our ores to the intermediate state via the railway to Lobito will benefit Angola, the country through which our ores will transit, and the importing countries – not us, the local Congolese communities,"" Menda said."" || Social | Equity, Rights & Vulnerable Groups | Wealth distribution and inequality -> """"We don't want to export minerals any more, because the importer will earn more than we do,"" Menda said."" | """"We want local processing of our ores here in Lualaba, because transporting our ores to the intermediate state via the railway to Lobito will benefit Angola ... and the importing countries – not us, the local Congolese communities,"" Menda said."" || Environmental | Land, Soil & Geology | Land disturbance and land-use change -> ""An October 2024 United Nations policy document (PDF) on the regional effect of the Lobito Corridor also listed potential future challenges, including the environmental effect, land and community conflicts"" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""He demands that this time, local communities must be at the heart of this project that aims to export the country's minerals via the Corridor."" || Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> """"The DRC should not sign this contract and [should] renegotiate it because it is neo-colonialist,"" Saleh said."" || Social | Equity, Rights & Vulnerable Groups | Crime and social disorder (corruption, violence, substance abuse) -> ""Saleh also fears the security risks posed by the Lobito project."" | """"The Lobito project has harmful security effects on our country,"" he said.""",,,"cobalt, copper",,Social || Social || Social || Social || Social || Social || Environmental || Governance || Governance || Social,"Livelihoods & Economy || Livelihoods & Economy || Health, Safety & Well-being || Equity, Rights & Vulnerable Groups || Equity, Rights & Vulnerable Groups || Equity, Rights & Vulnerable Groups || Land, Soil & Geology || Stakeholder Engagement & Rights || Regulation, Compliance & Institutions || Equity, Rights & Vulnerable Groups","Employment creation and job security || Income generation and poverty reduction or exacerbation || Mental and physical health impacts on communities || Freedom and justice impacts in nearby communities || Land ownership impacts and regional value changes || Wealth distribution and inequality || Land disturbance and land-use change || Stakeholder inclusion in decision-making || Mining permitting and licensing practices || Crime and social disorder (corruption, violence, substance abuse)"
https://www.atlanticcouncil.org/blogs/africasource/what-to-know-about-the-lobito-corridor-and-how-it-may-change-how-minerals-move/,20241231,What to know about the Lobito Corridor—and how it may change how minerals move - Atlantic Council,live_ok_trafilatura,0.95,0.95,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""By leveraging both public and private financing—and committing to anti-corruption, transparency, and good governance—the Lobito Corridor project is designed to create employment opportunities, facilitate regional and global trade, and spur investments in clean energy, as well as agriculture, digital connectivity, and food security."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Its construction will advance the United States' economic interests by unlocking investment opportunities, thereby creating avenues for US businesses to diversify supply chains, establish partnerships, and contribute to the economic diversification of the region—as well as offer African countries a more collaborative and transparent alternative to the BRI."" || Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""By leveraging both public and private financing—and committing to anti-corruption, transparency, and good governance—the Lobito Corridor project is designed to create employment opportunities, facilitate regional and global trade, and spur investments in clean energy, as well as agriculture, digital connectivity, and food security."" || Governance | Regulation, Compliance & Institutions | Compliance with national and international standards -> ""This partnership aims to develop sustainable, transparent, and secure supply chains for critical minerals, with an emphasis on environmental, social, and governance standards."" | ""The AFC was also awarded two million dollars in grant funding by the US Trade and Development Agency to complete the preliminary environmental and social studies for the project and ensure that the Lobito railway aligns with environmental standards and international best practices."" || Governance | Transparency & Accountability | Anti-corruption and bribery risks -> ""By leveraging both public and private financing—and committing to anti-corruption, transparency, and good governance—the Lobito Corridor project is designed to create employment opportunities, facilitate regional and global trade, and spur investments in clean energy, as well as agriculture, digital connectivity, and food security."" || Governance | Transparency & Accountability | Monitoring and disclosure of environmental and social performance -> ""The AFC was also awarded two million dollars in grant funding by the US Trade and Development Agency to complete the preliminary environmental and social studies for the project and ensure that the Lobito railway aligns with environmental standards and international best practices.""",,northwest region; Lusaka,critical minerals,Pensana,Social || Social || Social || Governance || Governance || Governance,"Livelihoods & Economy || Livelihoods & Economy || Living Conditions & Social Fabric || Regulation, Compliance & Institutions || Transparency & Accountability || Transparency & Accountability","Employment creation and job security || Business opportunities (local supply chains, services) || Livability (cost of living, food security, communication services) || Compliance with national and international standards || Anti-corruption and bribery risks || Monitoring and disclosure of environmental and social performance"
