impact_level3,count
Income generation and poverty reduction or exacerbation,1817
"Business opportunities (local supply chains, services)",1307
Employment creation and job security,1190
Legislative and regulatory framework effectiveness,1093
Mining permitting and licensing practices,840
Stakeholder inclusion in decision-making,793
Corporate transparency and reporting,569
Enforcement of environmental and social regulations,529
Mining image and public perception,414
Accidents and fatalities (including structural failures such as tailings dams),405
Anti-corruption and bribery risks,399
"Human capital development (skills, training, workforce development)",396
"Community exposure to dust, noise, pollution",370
Worker health and safety risks,366
Surface water pollution and quality degradation,332
"Social infrastructure and amenities (education, healthcare, public services, leisure)",329
Tailings generation and management,315
Wealth distribution and inequality,308
Mental and physical health impacts on communities,283
Accountability for accidents and environmental damage,271
Transport corridors and access road impacts,248
Unemployment risks post-closure,228
Social license to operate,226
"Crime and social disorder (corruption, violence, substance abuse)",220
"Livability (cost of living, food security, communication services)",217
Energy demand and consumption,211
"Freshwater ecotoxicity (heavy metals, pH changes, sensitive species)",175
Water management challenges,169
"Trust between mining companies, government, and communities",166
Tailings and waste governance,162
Land disturbance and land-use change,152
Monitoring and disclosure of environmental and social performance,140
Compliance with national and international standards,125
"Air quality degradation (dust, diesel exhaust, blasting emissions)",122
Clean/renewable energy integration (mitigation-related impact),122
Ecosystem degradation and habitat loss/fragmentation,120
Topsoil degradation and loss of soil fertility,118
"Demographic changes (migration, influx of workers, displacement)",115
Labor conditions and workplace dignity,107
Impacts on aquatic ecosystems and life below water,99
Land ownership impacts and regional value changes,98
Freedom and justice impacts in nearby communities,96
Education and training opportunities,78
Closure planning and post-mining reclamation governance,77
Conflict management between companies and communities,75
Greenhouse gas emissions (GHGs),75
Acid mine drainage,75
Dust generation,73
Overburden removal and waste rock generation,63
Equipment and materials availability affecting local labor markets,62
Slope instability and landslides,58
"Long-term liability management (pollution, water treatment, land stability)",57
Impacts on terrestrial ecotoxicity,56
Child labor and forced labor risks,55
Groundwater contamination,50
Fossil fuel consumption,49
"Community consent and consultation (FPIC – Free, Prior and Informed Consent)",46
Ecosystem recovery through reclamation and restoration (post-mining impact),44
Surface ground instability and subsidence,43
Income generation and poverty reduction,39
Water table alteration and drainage issues,36
Future generations’ rights and intergenerational equity,32
Stakeholder inclusion and community participation,31
Intergenerational responsibility and resource depletion ethics,30
Tourism attraction or decline,26
Landscape and topography alteration,23
Deforestation,22
Loss of ecosystem services,22
"Public safety concerns from blasting, vibrations, fly rock",20
Equipment safety risks,18
Social relationships and family/community cohesion,14
"Noise pollution (drilling, blasting, crushing, hauling)",13
Indigenous peoples’ rights and conflicts with mining,10
High water consumption,10
Job satisfaction,8
Material safety risks,8
Ground vibration and air overpressure (blasting impacts),7
Protection of indigenous land and resource rights,6
Particulate matter emissions,6
"Cultural impacts (tangible and intangible heritage, traditions, identity)",6
Social infrastructure and amenities,4
"Community consent and consultation (FPIC 	6 Free, Prior and Informed Consent)",3
"Carbon sink destruction (deforestation, land clearing)",3
Business opportunities,1
"Livability (cost of living, food security)",1
Local atmospheric heating and microclimate change,1
Photochemical ozone formation (smog),1
Geothermal effects at depth (elevated subsurface temperatures),1
