sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
http://www.msn.com/en-us/news/world/debt-and-covid-are-a-double-whammy-for-zambia/ar-BB1ckXaR,20201230,MSN,wayback_ok,0.99,0.9,0.8,"Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""A landlocked country in southern Africa, and the world's second-largest copper producer, Zambia has been lashed by a plunge in commodity prices."" | ""Starved of income, the government announced in mid-November that the country would no longer pay creditors -- and the prices of basic goods began to rise."" | """"I have resorted to eating once a day,"" she says."" | ""In some stores, the price of maize flour used to prepare ""mealie meal"", a porridge that constitutes Zambia's staple food, has gone up by more than 12 percent in three weeks -- a sack of 25 kilograms (55 pounds) now costs 141 kwacha (5.45 euros, $6.66)."" || Social | Living Conditions & Social Fabric | Social infrastructure and amenities (education, healthcare, public services, leisure) -> """"This will mean that sectors like health, agriculture and education will be affected,"" said Nalucha Ziba, country director for the charity ActionAid."" | """"You won't have money to buy medicines in hospitals, chalks for our schools, because more money would have moved away from the treasury,"" Hamaundu says."" | ""Some medicines have started to run out and ""taking care of yourself has become costly,"" says Bright Mapiki, who runs a Lusaka chemist's shop."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""A landlocked country in southern Africa, and the world's second-largest copper producer, Zambia has been lashed by a plunge in commodity prices."" | ""Starved of income, the government announced in mid-November that the country would no longer pay creditors -- and the prices of basic goods began to rise."" | """"I am struggling to make ends meet and the situation has been worsened by the debt default by our government,"" he says."" | """"When we come for work, we have no customers and not even food to eat for the morning,"" says Mwenya, from behind her counter.""",,Lusaka,copper,,Social || Social || Social,Living Conditions & Social Fabric || Living Conditions & Social Fabric || Livelihoods & Economy,"Livability (cost of living, food security, communication services) || Social infrastructure and amenities (education, healthcare, public services, leisure) || Income generation and poverty reduction or exacerbation"
https://bdnews24.com/world/2020/12/26/one-vaccine-side-effect-global-economic-inequality,20201226,,wayback_ok,0.9,0.8,0.6,"Social | Livelihoods & Economy | Employment creation and job security -> ""As consumer power resumes in North America, Europe and East Asia, that will drive demand for commodities, rejuvenating copper mines in Chile and Zambia and lifting exports of soybeans harvested in Brazil and Argentina."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""As consumer power resumes in North America, Europe and East Asia, that will drive demand for commodities, rejuvenating copper mines in Chile and Zambia and lifting exports of soybeans harvested in Brazil and Argentina.""",,Zambia,copper,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,Employment creation and job security || Income generation and poverty reduction or exacerbation
https://diggers.news/local/2020/12/30/milingos-move-to-split-kcm-excites-muz/,20201230,Milingo's move to split KCM excites MUZ – Zambia: News Diggers!,live_ok_newspaper,0.98,0.99,0.9,"Social | Livelihoods & Economy | Unemployment risks post-closure -> ""They have stopped employing since 2012."" | ""They have completely shut off Nkana Smelter, it is now scrap. They have closed underground Nchanga Mine"" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""they sent out most of the members into destitution after they let them go"" | ""They have left a lot bankrupt because what they were doing is that if you sign a contract, they would go five, six months without paying you"" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""they sent out most of the members into destitution after they let them go, and most of us are still into destitution, others even died."" || Governance | Stakeholder Engagement & Rights | Conflict management between companies and communities -> ""there were a lot of protests if you remember, and that's how President Edgar Lungu started siding with us."" | ""employees were protesting every month!"" || Social | Living Conditions & Social Fabric | Education and training opportunities -> ""They have deprived the graduates from the University of Zambia, CBU and other graduates."" || Environmental | Land, Soil & Geology | Transport corridors and access road impacts -> ""they even started picking rail lines underground from Nchanga to Konkola""",Konkola Copper Mines (KCM); Nchanga Mine,"Kitwe, Chililabombwe, Chingola, Nkana, Nchanga",copper,Vedanta Resources,Social || Social || Social || Governance || Social || Environmental,"Livelihoods & Economy || Livelihoods & Economy || Health, Safety & Well-being || Stakeholder Engagement & Rights || Living Conditions & Social Fabric || Land, Soil & Geology",Unemployment risks post-closure || Income generation and poverty reduction or exacerbation || Mental and physical health impacts on communities || Conflict management between companies and communities || Education and training opportunities || Transport corridors and access road impacts
https://diggers.news/local/2020/12/31/kcm-is-no-longer-our-member-reveals-chamber/,20201231,"KCM is no longer our member, reveals Chamber – Zambia: News Diggers!",live_ok_newspaper,0.95,0.95,0.7,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> """"the regulatory and investment environment is still not conducive, mostly to do with the current Mineral Royalty Tax (MRT) that we have and the non-deductibility of Mineral Royalty Tax on the basis of Corporate Income Tax computation, but that's on the one hand."""" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> """"reorganised and restructured into two subsidiary companies effective February 1, 2021, in a bid to increase efficiency, foster optimisation and boost business opportunities."""" | """"Obviously, the regulatory and investment environment is still not conducive... On the other hand, significant rise in copper prices might reach a point where it's significantly overshadowed by the prospects of reward and that might spur investment in the industry in our country.""""",KONKOLA Copper Mines Plc,,copper,KONKOLA Copper Mines Plc,Governance || Social,"Regulation, Compliance & Institutions || Livelihoods & Economy","Legislative and regulatory framework effectiveness || Business opportunities (local supply chains, services)"
https://news.metal.com/newscontent/101365162/Copper-production-in-Africa-is-expected-to-maintain-a-compound-annual-growth-rate-of-45-by-2024/,20210106,Copper production in Africa is expected to maintain a compound annual growth rate of 4.5% by 2024. - Shanghai Metals Market (SMM),live_ok_trafilatura,0.95,0.98,0.9,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""The government implemented a new tax law in 2019: the minimum tax rate has also been raised by 1.5 per cent, while when the price of a copper mine exceeds $7500 a tonne, the maximum tax rate will be raised from 6 per cent to 10 per cent."" | ""Repeated changes in the tax system will delay investment and hinder the expansion of new projects or existing mines."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Repeated changes in the tax system will delay investment and hinder the expansion of new projects or existing mines."" | ""Investment in regional exploration has also declined since 2018, and although Zambia has focused on grass-roots exploration, there have been few large-scale projects on the ground in the next five years.""",Lumwana,,copper,Barrick Gold Company,Governance || Social,"Regulation, Compliance & Institutions || Livelihoods & Economy","Legislative and regulatory framework effectiveness || Business opportunities (local supply chains, services)"
https://www.arabnews.com/node/1785146/business-economy,20201231,Debt and pandemic are a double whammy for Zambia | Arab News,live_ok_trafilatura,0.99,0.95,0.85,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""A landlocked country in southern Africa, and the world's second-largest copper producer, Zambia has been lashed by a plunge in commodity prices."" | ""When we come for work, we have no customers and not even food to eat for the morning,"" says Mwenya"" | ""She had been unable to afford breakfast before coming to open the store."" | ""Starved of income, the government announced in mid-November that the country would no longer pay creditors — and the prices of basic goods began to rise."" || Social | Living Conditions & Social Fabric | Social infrastructure and amenities (education, healthcare, public services, leisure) -> """"You won't have money to buy medicines in hospitals, chalks for our schools, because more money would have moved away from the treasury,"" Hamaundu says."" | """"This will mean that sectors like health, agriculture and education will be affected,"" said Nalucha Ziba, country director for the charity ActionAid.""",,Lusaka,copper,,Social || Social,Livelihoods & Economy || Living Conditions & Social Fabric,"Income generation and poverty reduction or exacerbation || Social infrastructure and amenities (education, healthcare, public services, leisure)"
https://www.business-standard.com/article/international/one-vaccine-side-effect-the-risk-of-leaving-behind-developing-economies-120122600118_1.html,20201226,,live_ok_newspaper,0.95,0.9,0.7,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""rejuvenating copper mines in Chile and Zambia, and lifting exports of soybeans harvested in Brazil and Argentina."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""rejuvenating copper mines in Chile and Zambia, and lifting exports of soybeans harvested in Brazil and Argentina.""",,,copper,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,"Income generation and poverty reduction or exacerbation || Business opportunities (local supply chains, services)"
https://www.ibtimes.com/debt-covid-are-double-whammy-zambia-3111641,20201230,Debt And Covid Are A Double Whammy For Zambia | IBTimes,live_ok_trafilatura,1.0,0.9,0.9,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""A landlocked country in southern Africa, and the world's second-largest copper producer, Zambia has been lashed by a plunge in commodity prices."" | ""Starved of income, the government announced in mid-November that the country would no longer pay creditors -- and the prices of basic goods began to rise."" | """"I have resorted to eating once a day,"" she says."" || Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""In some stores, the price of maize flour used to prepare ""mealie meal"", a porridge that constitutes Zambia's staple food, has gone up by more than 12 percent in three weeks -- a sack of 25 kilograms (55 pounds) now costs 141 kwacha (5.45 euros, $6.66)."" | """"I have resorted to eating once a day,"" she says."" | ""By way of comparison, that is less than the price of three kilos of potatoes, the price of which has risen by 30 percent."" || Social | Living Conditions & Social Fabric | Social infrastructure and amenities (education, healthcare, public services, leisure) -> """"This will mean that sectors like health, agriculture and education will be affected,"" said Nalucha Ziba, country director for the charity ActionAid."" | """"You won't have money to buy medicines in hospitals, chalks for our schools, because more money would have moved away from the treasury,"" Hamaundu says."" | ""Some medicines have started to run out and ""taking care of yourself has become costly,"" says Bright Mapiki, who runs a Lusaka chemist's shop.""",,Lusaka,copper,,Social || Social || Social,Livelihoods & Economy || Living Conditions & Social Fabric || Living Conditions & Social Fabric,"Income generation and poverty reduction or exacerbation || Livability (cost of living, food security, communication services) || Social infrastructure and amenities (education, healthcare, public services, leisure)"
https://www.lusakatimes.com/2020/12/28/blocked-drainage-causes-the-zambia-railways-limited-goods-train-to-derail/,20201228,Zambia : Blocked drainage causes the Zambia Railways Limited goods-train to derail,live_ok_trafilatura,0.99,0.95,0.8,"Social | Health, Safety & Well-being | Accidents and fatalities (including structural failures such as tailings dams) -> ""one of its goods train carrying 24 wagons of coal derailed in the early hours of Sunday December 27, 2020 around Mazabuka and Magoye area."" | ""no fatalities were recorded as the crew members are safe and injury free."" || Environmental | Land, Soil & Geology | Transport corridors and access road impacts -> ""the derailment was caused by a blocked drainage that buried the rail line due to heavy rains."" || Environmental | Water Resources | Water management challenges -> ""the derailment was caused by a blocked drainage that buried the rail line due to heavy rains.""",,"Mazabuka and Magoye, Southern Province",coal,,Social || Environmental || Environmental,"Health, Safety & Well-being || Land, Soil & Geology || Water Resources",Accidents and fatalities (including structural failures such as tailings dams) || Transport corridors and access road impacts || Water management challenges
https://www.lusakatimes.com/2020/12/29/kcm-to-be-reorganised-and-restructured-into-two-subsidiary-companies-effective-february-1-2021/,20201229,"Zambia : KCM to be reorganised and restructured into two subsidiary companies effective February 1, 2021",live_ok_trafilatura,0.99,0.99,0.9,"Environmental | Land, Soil & Geology | Tailings generation and management -> ""The 500 TPD Acid Plant and Tailings Dams will be part of Konkola Mineral Resources Limited."" || Social | Livelihoods & Economy | Employment creation and job security -> ""All employees directly working for Konkola Copper Mines will be offered new contracts of employment in either of the two new companies i.e. KCM Smelter Co Limited or Konkola Mineral Resources Limited."" | ""The employees, who are currently working for KCM, will all be paid severance packages in agreed form to ensure that all old liabilities are cleared, and reengaged seamlessly by the two separate Companies, with no job losses."" || Social | Quality of Work Life | Labor conditions and workplace dignity -> ""The employees' basic conditions of service will remain unchanged until after the Managements of the two Companies and Unions Collective Bargaining commences and is concluded as per agreed calendar of negotiations."" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""The restructuring decision has undergone wide consultations with key stakeholders, chief among them relevant Authorities, Labour Unions representing workers at KCM and the Company Management.""",Nampundwe Pyrite Mine,Nchanga,copper,Konkola Copper Mines,Environmental || Social || Social || Governance,"Land, Soil & Geology || Livelihoods & Economy || Quality of Work Life || Stakeholder Engagement & Rights",Tailings generation and management || Employment creation and job security || Labor conditions and workplace dignity || Stakeholder inclusion in decision-making
