sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
http://allafrica.com/stories/201605101010.html,20160510,,wayback_ok,1.0,0.8,0.6,"Social | Livelihoods & Economy | Unemployment risks post-closure -> ""mining was a diminishing activity and, therefore, cannot last forever leaving only the option of agriculture for the country's sustenance."" || Social | Livelihoods & Economy | Employment creation and job security -> ""So far President Lungu has priotised agriculture, a move that will see Zambia successfully diversify from her over-dependence on mining to agriculture."" | ""local farmers could earn more money by expanding their maize production because the domestic and regional markets were ready for Zambia's maize products.""",,,,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,Unemployment risks post-closure || Employment creation and job security
http://china.org.cn/world/Off_the_Wire/2016-05/11/content_38424692.htm,20160510,Mining firms in Zambia hail parliament for passing law on tax changes - China.org.cn,live_ok_trafilatura,0.98,0.96,0.7,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""Mining firms in Zambia on Tuesday commended the country's parliament for passing a new law that brings changes to the mining tax regime."" | ""Last Friday, the parliament passed changes to the 2015 Mines and Minerals Development Act which has, among other things included a sliding mineral royalty that varies depending on the prevailing copper prices."" || Social | Livelihoods & Economy | Employment creation and job security -> ""Finance Minister Alexander Chikwanda said last week that the move to make changes to the tax regime was necessitated mainly by the need to sustain operations of the mining sector in the face of falling metal prices."" | """"The gesture by the government is a good lifeline that will provide much needed relief.""""",,,copper,,Governance || Social,"Regulation, Compliance & Institutions || Livelihoods & Economy",Legislative and regulatory framework effectiveness || Employment creation and job security
http://news.chennaionline.com/national/Vedanta--JLF-urge-open-debate-on-London-fest-boycott-/82b46da9-3614-4c13-8c06-a8fa49da63a8.col,20160517,,wayback_ok,0.95,0.95,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of poisoning their water over the last decade,"" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of poisoning their water over the last decade,"" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""Are you aware that Vedanta's activities are destroying the lives of thousands of people in Odisha, Chhattisgarh, Goa, Tamil Nadu, Rajasthan, Karnataka and Punjab and also in Zambia, South Africa and Australia?"" || Governance | Transparency & Accountability | Accountability for accidents and environmental damage -> ""Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of poisoning their water over the last decade,""",,,,KCM,Environmental || Social || Social || Governance,"Water Resources || Health, Safety & Well-being || Health, Safety & Well-being || Transparency & Accountability","Surface water pollution and quality degradation || Community exposure to dust, noise, pollution || Mental and physical health impacts on communities || Accountability for accidents and environmental damage"
http://sacw.net/article12749.html,20160512,Open letter to the writers attending Vedanta JLF London 2016: from Niyamgiri mountain to the river Kafue calling Vedanta to justice - South Asia Citizens Web,live_ok_newspaper,0.95,0.95,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of consistently poisoning their water over the last decade"" | ""In 2011 Zambian High Court Judge Phillip Musonda said he wanted to make an example of Vedanta for their 'gross recklessness' in polluting the River Kafue without remorse"" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""accusing it of consistently poisoning their water over the last decade"" | ""polluting the River Kafue without remorse, and highlighted 'KCM's don't care attitude whether human life which sacrosanct in our constitution was lost or not.'"" || Governance | Transparency & Accountability | Accountability for accidents and environmental damage -> ""Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of consistently poisoning their water over the last decade"" | ""In 2011 Zambian High Court Judge Phillip Musonda said he wanted to make an example of Vedanta"" || Governance | Transparency & Accountability | Anti-corruption and bribery risks -> ""The Zambian government reacted by auditing the mines, and discovered vast tax evasion schemes and asset stripping."" | ""he had bought the Zambian copper mines at a fraction of their value and was making $500 million each year despite declaring a loss in Zambia.""",,River Kafue,copper,KCM,Environmental || Social || Governance || Governance,"Water Resources || Health, Safety & Well-being || Transparency & Accountability || Transparency & Accountability","Surface water pollution and quality degradation || Community exposure to dust, noise, pollution || Accountability for accidents and environmental damage || Anti-corruption and bribery risks"
http://scroll.in/latest/808120/full-text-boycott-vedanta-sponsored-jaipur-lit-fests-london-edition-writers-urged-in-open-letter,20160514,"Full text: Boycott Vedanta-sponsored Jaipur lit fest's London edition, writers urged in open letter",live_ok_trafilatura,0.98,0.93,0.82,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""Are you aware that Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of consistently poisoning their water over the last decade?"" | ""In 2011 Zambian High Court Judge Phillip Musonda said he wanted to make an example of Vedanta for their 'gross recklessness' in polluting the River Kafue without remorse"" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""Are you aware that Zambian villagers are currently taking Vedanta subsidiary KCM to court in the UK, accusing it of consistently poisoning their water over the last decade?"" | ""James Nyasulu, community activist and pollution affected person, Chingola, Zambia."" || Governance | Transparency & Accountability | Anti-corruption and bribery risks -> ""The Zambian government reacted by auditing the mines, and discovered vast tax evasion schemes and asset stripping."" | ""In 2014 Vedanta 69% owner and Chairman Anil Agarwal was caught on video bragging to businessmen at a Bangalore conference that he had bought the Zambian copper mines at a fraction of their value and was making $500 million each year despite declaring a loss in Zambia.""",,Chingola,copper,KCM,Environmental || Social || Governance,"Water Resources || Health, Safety & Well-being || Transparency & Accountability","Surface water pollution and quality degradation || Community exposure to dust, noise, pollution || Anti-corruption and bribery risks"
http://www.gfmag.com/magazine/may-2016/waiting-game-zambia,20160513,A Waiting Game For Zambia - Global Finance Magazine,live_ok_trafilatura,0.95,0.95,0.8,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""The Zambian government's decision to levy a new mineral royalty tax has contributed to uncertainty, Charnas says."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""Moreover, China's slowdown has meant reduced exports of Zambian copper, which has affected Zambia disproportionately.""",,,copper,,Governance || Social,"Regulation, Compliance & Institutions || Livelihoods & Economy",Legislative and regulatory framework effectiveness || Income generation and poverty reduction or exacerbation
http://www.mineweb.com/news/industrial-metals-and-minerals/zambia-approves-new-copper-price-based-royalty-regime/,20160516,,wayback_ok,0.99,0.99,0.85,"Social | Livelihoods & Economy | Employment creation and job security -> ""ramping up efforts to cushion miners from lower commodity prices in a bid to encourage investment and ongoing operations in the sector."" || Environmental | Land, Soil & Geology | Tailings generation and management -> ""running an efficient ""tailings leach facility with potential to increase recoveries."""" || Environmental | Air & Climate | Energy demand and consumption -> ""Copper miners in the resource-reliant Southern African country have also been battling ongoing power shortages which had hobbled operations and high mine fees such as royalties and taxes."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""On Wednesday the 11th of May, the Zambian parliament approved the new royalty regime after the latest fee structure was given the green-light by the country's cabinet on February 17."" | ""The Bill was approved by the Zambian parliament on 11 May 2016 and awaits approval from The Honourable President of Zambia.""",Konkola,,copper,Vedanta Resources,Social || Environmental || Environmental || Governance,"Livelihoods & Economy || Land, Soil & Geology || Air & Climate || Regulation, Compliance & Institutions",Employment creation and job security || Tailings generation and management || Energy demand and consumption || Legislative and regulatory framework effectiveness
http://zambiareports.com/2016/05/16/violence-is-failure-of-leadership-says-dora-siliya/,20160516,zambiareports.com,wayback_ok,0.95,0.8,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""This election is about creating real opportunities for young people in business and job creation through tourism ,mines, construction, banking, education ,police, energy and agriculture."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""This election is about creating real opportunities for young people in business and job creation through tourism ,mines, construction, banking, education ,police, energy and agriculture.""",,,,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,"Employment creation and job security || Business opportunities (local supply chains, services)"
https://frontpage.gcsu.edu/article/news/faculty-member-receives-teaching-and-research-fulbright,20160510,,wayback_ok,0.99,0.99,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""contamination of the soil, water and air from waste being dumped all around the mine."" || Environmental | Air & Climate | Air quality degradation (dust, diesel exhaust, blasting emissions) -> ""contamination of the soil, water and air from waste being dumped all around the mine."" || Environmental | Land, Soil & Geology | Topsoil degradation and loss of soil fertility -> ""contamination of the soil, water and air from waste being dumped all around the mine."" | ""children play in soil that has lead levels of over 20,000 parts per million (ppm)"" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""contamination of the soil, water and air from waste being dumped all around the mine."" | ""Lots of people live in the area. They grow vegetables, and children play in soil that has lead levels of over 20,000 parts per million (ppm),"" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""I'll also be looking to quantify what impact this has had on the development of the kids there and their mental abilities."" | ""Lead is a potent neuro-toxin, and it affects your brain development."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""During that time, there were very few environmental regulations in Zambia, which led to contamination of the soil, water and air from waste being dumped all around the mine.""",,Kabwe,zinc and lead,,Environmental || Environmental || Environmental || Social || Social || Governance,"Water Resources || Air & Climate || Land, Soil & Geology || Health, Safety & Well-being || Health, Safety & Well-being || Regulation, Compliance & Institutions","Surface water pollution and quality degradation || Air quality degradation (dust, diesel exhaust, blasting emissions) || Topsoil degradation and loss of soil fertility || Community exposure to dust, noise, pollution || Mental and physical health impacts on communities || Legislative and regulatory framework effectiveness"
https://www.lusakatimes.com/2016/05/10/chamber-mines-hails-governments-effort-save-mining-industry/,20160510,Zambia : Chamber of Mines hails Government's effort to save the Mining industry,live_ok_trafilatura,0.99,0.96,0.85,"Social | Livelihoods & Economy | Employment creation and job security -> ""the instruments used within a taxation regime, and the rates at which taxes are set, together establish the incentives and disincentives a mining company faces in deciding whether and how much to invest, how many workers to employ, and what ore to extract – which in turn can affect the life-span of the mine."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""The industry has ploughed more than US$14 billion into new mining ventures and trebled the country's annual mining output to around 800 000 tonnes."" | ""This mining growth has been key in taking government tax revenue from less than half a billion Kwacha in 2000 to a peak of K8 billion ten years later."" | ""Working together we have to create a high-growth, diversified economy which spreads risk and opportunities across the economy creates more jobs and widens the tax base,"" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""The Zambia Chamber of Mines has welcomed the changes to the new 2015 Mines and Minerals Development (Amendment) Act which was passed by parliament last Friday."" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""We commend the government for this new spirit of dialogue and cooperation, and we look forward to continuing to work together to solve these and future challenges.""",,,copper,,Social || Social || Governance || Governance,"Livelihoods & Economy || Livelihoods & Economy || Regulation, Compliance & Institutions || Stakeholder Engagement & Rights",Employment creation and job security || Income generation and poverty reduction or exacerbation || Legislative and regulatory framework effectiveness || Stakeholder inclusion in decision-making
